EAN;PRODUTO;DESCRITIVO
7891000064313;201896;MUCILON LATA 400GR MULTI CEREAIS
7896005280935;229661;Z MIST BOLO  450G D BENTA AIPIM
7896076000579;229920;PAPEL HIG DAMA C/8 PERFUMADO
7896076000500;229937;TOALHA PAPEL  DONNA C/2 100FLS
7896283800245;231985;CR LEITE  TP 200G JUSSARA
7896052600083;222563;REFRIG SCHIN 2L  COLA
7896085055775;220477;BISC ADRIA TORTINHAS 160G CHOC/CER
7897395020279;221689;CERV LATA ITAIPAVA 350ml LATA
7896462300115;223478;REFRIG DOLLY 2L GUARANA
7891000064092;284530;MUCILON SACHE 230G ARROZ
7897517206086;264044;MOLHO TOM SACHET 340G FUGINI   TRAD
7622300053338;285797;BISC CLUB SOCIAL 150G PIZZA
7894321716053;285865;ACHOC PO MAGICO PCT 400G
7896105500124;279079;AMAC 2L CANDURA LAVANDA ROSA
7891079011775;279161;MAC INST NIS LAM 85G PICANHA
7891079012420;279208;MAC INST NIS LAM 85G CALDO FEIJAO
7893218000596;236683;SMIRNOFF ICE LATA 330ml RED
7891000053508;292313;NESCAU 2.0 400G
7891132000739;240413;MID  MORANGO
7891024114605;259149;ST PALMOLIVE SUAVE 90G MAN CUPUACU
7891024114704;259156;ST PALMOLIVE SUAVE 90G EXT FRU
7891024111802;259187;ST PALMOLIVE SUAVE 90G LEI/P ROSAS
7891700206921;259194;MAIONESE 500G ARISCO PET TRAD
7896283800221;289801;LEITE LV  JUSSARA 1L INTEGRAL
7896048282286;257121;VINAGRE FORTALEZA 750ml CLARO
7896022201890;245241;MAC INST RENATA 85G GALINHA
7896022201906;245258;Z MAC INST RENATA CARNE
7896022201913;245265;MAC INST RENATA 85G GALINHA CAIPIRA
7898422754266;287913;CR SEDA P/PENTEAR 300G CRESCIMENTO
7590002025321;288583;ABS ALWAYS BASICO C/8 S/A M.SECA LARANJA
7897951614225;260541;MILK MIX  1L  VITAMINA
7897951614195;260565;MILK MIX  1L  PESSEGO
7897951614218;260572;MILK MIX 1L COCO
7897951614317;260589;MILK MIX   200ml VITAMINA
7896005801529;274821;CAFE 3 CORACOES 500G EXTRA FORTE
7897664130319;253864;DET LIQ  MINUANO 500ml MARINE
7891079001561;254021;MAC INST NIS LAM 85GCREM FRANGO
